,names,genders,meanings,religion,image
16,aaliya,Female or Girls,"Noble, Elevated, Exulted, sublime, elevated, lofty, high, a women of highest social standing class of people who live in Illiyyeen, those who have the highest rank in Paradise",Muslim,https://www.momjunction.com/wp-content/uploads/baby-names/aaliya_name_meaning_origin.jpg.webp
17,aamal,Female or Girls,"Hope, aspiration, Pure ,expectation, wish, desire",Muslim,https://www.momjunction.com/wp-content/uploads/baby-names/aamal_name_meaning_origin.jpg.webp
18,aamilah,Female or Girls,"Hopeful ,Righteous Striver,one who hopes",Muslim,https://www.momjunction.com/wp-content/uploads/baby-names/aamilah_name_meaning_origin.jpg.webp
19,aamina,Female or Girls,"Safe, Secure, Protected, Trustworthy ,Loyal,  a lady of peace and harmony Name of the beloved mother of the Prophet Muhammad pbuh",Muslim,https://www.momjunction.com/wp-content/uploads/baby-names/aamina_name_meaning_origin.jpg.webp
20,aamirah,Female or Girls,"Aamira is an indirect Quranic name for girls that means prosperous, full of life, one who has a long and prosperous life",Muslim,https://www.momjunction.com/wp-content/uploads/baby-names/aamirah_name_meaning_origin.jpg.webp
21,aana,Female or Girls," Arabic for moments, hours of the night",Muslim,https://www.momjunction.com/wp-content/uploads/baby-names/aana_name_meaning_origin.jpg.webp
22,aaneseh,Female or Girls,"virtuous woman, miss, eloquent woman",Muslim,https://www.momjunction.com/wp-content/uploads/baby-names/aaneseh_name_meaning_origin.jpg.webp
23,aanil,Female or Girls,"bring to memory, to recall It also means wellknown, famous",Muslim,https://www.momjunction.com/wp-content/uploads/baby-names/aanil_name_meaning_origin.jpg.webp
24,aaqilah,Female or Girls,"Wise, Intelligent,  smart, Sensible, discerning",Muslim,https://www.momjunction.com/wp-content/uploads/baby-names/aaqilah_name_meaning_origin.jpg.webp
25,aara,Female or Girls,"Adoring, High, exalted, beautifier",Muslim,https://www.momjunction.com/wp-content/uploads/baby-names/aara_name_meaning_origin.jpg.webp
26,aaribah,Female or Girls,"Winner, Successful",Muslim,https://www.momjunction.com/wp-content/uploads/baby-names/aaribah_name_meaning_origin.jpg.webp
27,aarifah,Female or Girls,"knowledgeable, wise, learned,Knowing,",Muslim,https://www.momjunction.com/wp-content/uploads/baby-names/aarifah_name_meaning_origin.jpg.webp
28,aarzu,Female or Girls,"Hope, desire, wish, Yearning, longing",Muslim,https://www.momjunction.com/wp-content/uploads/baby-names/aarzu_name_meaning_origin.jpg.webp
29,aasal,Female or Girls," is a direct Quranic name for boys and girls that means late afternoons, evenings, it is the plural of the Arabic word Aseel late afternoon, evening The name  is mentioned three times in the Quran This name should not be confused with the name Asal, which means honey",Muslim,https://www.momjunction.com/wp-content/uploads/baby-names/aasal_name_meaning_origin.jpg.webp
30,aaseman,Female or Girls,"  is a Persian name for girls that means sky, heaven",Muslim,https://www.momjunction.com/wp-content/uploads/baby-names/aaseman_name_meaning_origin.jpg.webp
31,aasfa,Female or Girls,"Protector, guardian",Muslim,https://www.momjunction.com/wp-content/uploads/baby-names/aasfa_name_meaning_origin.jpg.webp
32,aasia,Female or Girls,Hope,Muslim,https://www.momjunction.com/wp-content/uploads/baby-names/aasia_name_meaning_origin.jpg.webp
33,aasimah,Female or Girls,"Protector, defendant, central",Muslim,https://www.momjunction.com/wp-content/uploads/baby-names/aasimah_name_meaning_origin.jpg.webp
34,aasira,Female or Girls,Bond,Muslim,https://www.momjunction.com/wp-content/uploads/baby-names/aasira_name_meaning_origin.jpg.webp
35,aasiyah,Female or Girls,Pharaohs wife who embraced lslam,Muslim,https://www.momjunction.com/wp-content/uploads/baby-names/aasiyah_name_meaning_origin.jpg.webp
36,aasma,Female or Girls,"Excellent, Precious",Muslim,https://www.momjunction.com/wp-content/uploads/baby-names/aasma_name_meaning_origin.jpg.webp
37,aasmaa,Female or Girls,"Excellent, Precious",Muslim,https://www.momjunction.com/wp-content/uploads/baby-names/aasmaa_name_meaning_origin.jpg.webp
38,aatifa,Female or Girls,"Affection, Sympathy",Muslim,https://www.momjunction.com/wp-content/uploads/baby-names/aatifa_name_meaning_origin.jpg.webp
39,aatifah,Female or Girls,"  is an Arabic name for girls that means affectionate, sympathetic It also means affection, emotion, feeling",Muslim,https://www.momjunction.com/wp-content/uploads/baby-names/aatifah_name_meaning_origin.jpg.webp
40,aatika,Female or Girls," is an Arabic name for girls that means pure, generous",Muslim,https://www.momjunction.com/wp-content/uploads/baby-names/aatika_name_meaning_origin.jpg.webp
41,aatikah,Female or Girls,Generous,Muslim,https://www.momjunction.com/wp-content/uploads/baby-names/aatikah_name_meaning_origin.jpg.webp
42,aatiq,Female or Girls,"Free, liberated, independent",Muslim,https://www.momjunction.com/wp-content/uploads/baby-names/aatiq_name_meaning_origin.jpg.webp
43,aatiqa,Female or Girls,  is an Arabic name for girls that means free,Muslim,https://www.momjunction.com/wp-content/uploads/baby-names/aatiqa_name_meaning_origin.jpg.webp
44,aatiqah,Female or Girls,Shoulder support old,Muslim,https://www.momjunction.com/wp-content/uploads/baby-names/aatiqah_name_meaning_origin.jpg.webp
45,aatirah,Female or Girls,Fragrant,Muslim,https://www.momjunction.com/wp-content/uploads/baby-names/aatirah_name_meaning_origin.jpg.webp
46,aatiya,Female or Girls,Generous,Muslim,https://www.momjunction.com/wp-content/uploads/baby-names/aatiya_name_meaning_origin.jpg.webp
47,aawaz,Female or Girls," is a Kurdish name for girls that means melody, tune, song",Muslim,https://www.momjunction.com/wp-content/uploads/baby-names/aawaz_name_meaning_origin.jpg.webp
48,aaween,Female or Girls,"  is a Kurdish name for girls that means pure, translucent, fresh, clean Its literal meaning is made of water, like water",Muslim,https://www.momjunction.com/wp-content/uploads/baby-names/aaween_name_meaning_origin.jpg.webp
49,aayizah,Female or Girls,"  is an Arabic name for girls that means replacement, something given to you in place of something you have lost",Muslim,https://www.momjunction.com/wp-content/uploads/baby-names/aayizah_name_meaning_origin.jpg.webp
50,aayun,Female or Girls, is an Arabic name for girls that means eyes It is the plural of Ain It is used  times in the Quran,Muslim,https://www.momjunction.com/wp-content/uploads/baby-names/aayun_name_meaning_origin.jpg.webp
51,abaal,Female or Girls, Arabic for wild rose,Muslim,https://www.momjunction.com/wp-content/uploads/baby-names/abaal_name_meaning_origin.jpg.webp
52,abaasa,Female or Girls, is an indirect Quranic name for girls that means lioness female lion It is a very rarely used name,Muslim,https://www.momjunction.com/wp-content/uploads/baby-names/abaasa_name_meaning_origin.jpg.webp
53,abal,Female or Girls,Wild rose,Muslim,https://www.momjunction.com/wp-content/uploads/baby-names/abal_name_meaning_origin.jpg.webp
54,abanus,Female or Girls, is an Urdu variant of the Persian name Abnus Either spelling and pronunciation is acceptable For more details see Abnus,Muslim,https://www.momjunction.com/wp-content/uploads/baby-names/abanus_name_meaning_origin.jpg.webp
55,abasah,Female or Girls,"Daughter of alMahdi, a woman who was distinguished among her contemporaries",Muslim,https://www.momjunction.com/wp-content/uploads/baby-names/abasah_name_meaning_origin.jpg.webp
56,abbaasah,Female or Girls,"Lioness, Sister of Haroon Rashid",Muslim,https://www.momjunction.com/wp-content/uploads/baby-names/abbaasah_name_meaning_origin.jpg.webp
57,abda,Female or Girls,"Brave, Strong and Courageous",Muslim,https://www.momjunction.com/wp-content/uploads/baby-names/abda_name_meaning_origin.jpg.webp
58,abdah,Female or Girls,"Nick name of Abdur  Rehman bin Sulayman the father of Muhammad Ibn Abdur Rahman, the genealogist",Muslim,https://www.momjunction.com/wp-content/uploads/baby-names/abdah_name_meaning_origin.jpg.webp
59,abdia,Female or Girls,Slave of Allah,Muslim,https://www.momjunction.com/wp-content/uploads/baby-names/abdia_name_meaning_origin.jpg.webp
60,abdiqani,Female or Girls,Qaniyare,Muslim,https://www.momjunction.com/wp-content/uploads/baby-names/abdiqani_name_meaning_origin.jpg.webp
61,abdiya,Female or Girls,"Arabic for servant, slave, as in servant of Allah It is the attributive form of Abd servantslave This is a very rare name and it is not used by Arabs We do not recommend using this name unless it is common in your culture",Muslim,https://www.momjunction.com/wp-content/uploads/baby-names/abdiya_name_meaning_origin.jpg.webp
62,abeela,Female or Girls,To be beautiful,Muslim,https://www.momjunction.com/wp-content/uploads/baby-names/abeela_name_meaning_origin.jpg.webp
63,abeira,Female or Girls,"perfume, saffron,  fragrance",Muslim,https://www.momjunction.com/wp-content/uploads/baby-names/abeira_name_meaning_origin.jpg.webp
64,abia,Female or Girls,Great,Muslim,https://www.momjunction.com/wp-content/uploads/baby-names/abia_name_meaning_origin.jpg.webp
65,abinus,Female or Girls, is an Urdu variant of the Persian name Abnus Both are acceptable,Muslim,https://www.momjunction.com/wp-content/uploads/baby-names/abinus_name_meaning_origin.jpg.webp
66,abisha,Female or Girls,Gift of god,Muslim,https://www.momjunction.com/wp-content/uploads/baby-names/abisha_name_meaning_origin.jpg.webp
67,abla,Female or Girls,"Wellrounded ,  Perfectly formed, A woman possessing a beautiful figure",Muslim,https://www.momjunction.com/wp-content/uploads/baby-names/abla_name_meaning_origin.jpg.webp
68,abnus,Female or Girls,"  is a Persian name for boys and girls that means ebony, which is a dense and expensive type of wood that can sink in water, used for making musical instruments It is not a Quranic name but Muslims can use it since it doesnt have a bad meaning",Muslim,https://www.momjunction.com/wp-content/uploads/baby-names/abnus_name_meaning_origin.jpg.webp
69,abqurah,Female or Girls,Genius,Muslim,https://www.momjunction.com/wp-content/uploads/baby-names/abqurah_name_meaning_origin.jpg.webp
70,abra,Female or Girls,"Example, lesson",Muslim,https://www.momjunction.com/wp-content/uploads/baby-names/abra_name_meaning_origin.jpg.webp
71,abrar,Female or Girls,"Obedience, Pious, Righteous, Gifts, Plural of Barr, Peity",Muslim,https://www.momjunction.com/wp-content/uploads/baby-names/abrar_name_meaning_origin.jpg.webp
72,abreshmina,Female or Girls,Made of silk,Muslim,https://www.momjunction.com/wp-content/uploads/baby-names/abreshmina_name_meaning_origin.jpg.webp
73,abrisham,Female or Girls, is a Persian name for girls that means silk,Muslim,https://www.momjunction.com/wp-content/uploads/baby-names/abrisham_name_meaning_origin.jpg.webp
74,absaar,Female or Girls," is a direct Quranic name for boys and girls that means vision, insight, keenness, perception, intellect, intelligence, discernment BLANKENTER And remember Our servants, Abraham, Isaac and Jacob those of strength and religious Quran ",Muslim,https://www.momjunction.com/wp-content/uploads/baby-names/absaar_name_meaning_origin.jpg.webp
75,abtahi,Female or Girls,"One who lives in Abtah, a place near Makkah",Muslim,https://www.momjunction.com/wp-content/uploads/baby-names/abtahi_name_meaning_origin.jpg.webp
76,aburah,Female or Girls,"perfume, fragrance",Muslim,https://www.momjunction.com/wp-content/uploads/baby-names/aburah_name_meaning_origin.jpg.webp
77,abyah,Female or Girls,  is an Arabic name for girls that means beautiful,Muslim,https://www.momjunction.com/wp-content/uploads/baby-names/abyah_name_meaning_origin.jpg.webp
78,abyan,Female or Girls,"Clearer, more distinct, Eloquent",Muslim,https://www.momjunction.com/wp-content/uploads/baby-names/abyan_name_meaning_origin.jpg.webp
79,ada,Female or Girls,"Grace, Expression",Muslim,https://www.momjunction.com/wp-content/uploads/baby-names/ada_name_meaning_origin.jpg.webp
80,adab,Female or Girls,"Hope, need Mannered, Cultured",Muslim,https://www.momjunction.com/wp-content/uploads/baby-names/adab_name_meaning_origin.jpg.webp
81,adan,Female or Girls,Garden of Eden,Muslim,https://www.momjunction.com/wp-content/uploads/baby-names/adan_name_meaning_origin.jpg.webp
82,adaniyyah,Female or Girls,"  is an Arabic name for girls that means a woman who is from the city of Aden, which is an important seaport city in Yemen",Muslim,https://www.momjunction.com/wp-content/uploads/baby-names/adaniyyah_name_meaning_origin.jpg.webp
83,adara,Female or Girls,"Virgin , Chaste one",Muslim,https://www.momjunction.com/wp-content/uploads/baby-names/adara_name_meaning_origin.jpg.webp
84,adarina,Female or Girls," is a Persian name formed from Adar fire,  in like, and  a namecreation suffix The full meaning is fiery, and figuratively it means beautiful",Muslim,https://www.momjunction.com/wp-content/uploads/baby-names/adarina_name_meaning_origin.jpg.webp
85,adawiyah,Female or Girls,Summer plant,Muslim,https://www.momjunction.com/wp-content/uploads/baby-names/adawiyah_name_meaning_origin.jpg.webp
86,adeeba,Female or Girls,"Cultured, Polite",Muslim,https://www.momjunction.com/wp-content/uploads/baby-names/adeeba_name_meaning_origin.jpg.webp
87,adeebah,Female or Girls," Adeeba is an Arabic name for girls that means one who has excellent character, one who has excellent manners It is not a Quranic name, but Muslims can use it since it has a good meaning",Muslim,https://www.momjunction.com/wp-content/uploads/baby-names/adeebah_name_meaning_origin.jpg.webp
88,adeema,Female or Girls,Rare,Muslim,https://www.momjunction.com/wp-content/uploads/baby-names/adeema_name_meaning_origin.jpg.webp
89,adeen,Female or Girls," also written as Azeen is an indirect Quranic name for boys and girls that means obedient, righteous, one who listens to what is said, one who calls the Athaan call to prayer, ruler, chief It is derived from the ADHALN Quranic root",Muslim,https://www.momjunction.com/wp-content/uploads/baby-names/adeen_name_meaning_origin.jpg.webp
90,adeena,Female or Girls,"Pious, good luck",Muslim,https://www.momjunction.com/wp-content/uploads/baby-names/adeena_name_meaning_origin.jpg.webp
91,adeeva,Female or Girls,"Pleasant, Gentle",Muslim,https://www.momjunction.com/wp-content/uploads/baby-names/adeeva_name_meaning_origin.jpg.webp
92,aden,Female or Girls,warm person,Muslim,https://www.momjunction.com/wp-content/uploads/baby-names/aden_name_meaning_origin.jpg.webp
93,adena,Female or Girls,"Noble, adorned",Muslim,https://www.momjunction.com/wp-content/uploads/baby-names/adena_name_meaning_origin.jpg.webp
94,adhara,Female or Girls," Arabic name of a starn the constellation Canis Major, meaning maidens",Muslim,https://www.momjunction.com/wp-content/uploads/baby-names/adhara_name_meaning_origin.jpg.webp
95,adiba,Female or Girls,"Polite, wellmannered, wellbred, courteous,cultured , polished, writer , fem of Adib",Muslim,https://www.momjunction.com/wp-content/uploads/baby-names/adiba_name_meaning_origin.jpg.webp
96,adifaah,Female or Girls,"Acute, Dare, Talented, Smart",Muslim,https://www.momjunction.com/wp-content/uploads/baby-names/adifaah_name_meaning_origin.jpg.webp
97,adina,Female or Girls,"  is a Persian name for girls that means weekend, the last day of the week, which in Islamic culture means Friday It is a variant of Adineh",Muslim,https://www.momjunction.com/wp-content/uploads/baby-names/adina_name_meaning_origin.jpg.webp
98,adineh,Female or Girls,"  is a Persian name for girls that means weekend, the last day of the week, which in Islamic culture means Friday, while in others it can mean Saturday or Sunday",Muslim,https://www.momjunction.com/wp-content/uploads/baby-names/adineh_name_meaning_origin.jpg.webp
99,adira,Female or Girls,"Strong,Mighty",Muslim,https://www.momjunction.com/wp-content/uploads/baby-names/adira_name_meaning_origin.jpg.webp
100,adiva,Female or Girls,"Pleasant, gentle ,kind person",Muslim,https://www.momjunction.com/wp-content/uploads/baby-names/adiva_name_meaning_origin.jpg.webp
101,adla,Female or Girls,"Just, fair woman,Respected Witness",Muslim,https://www.momjunction.com/wp-content/uploads/baby-names/adla_name_meaning_origin.jpg.webp
102,adlaa,Female or Girls,"  is an Arabic name for girls that means just, fair, a person who practices justice and fairness",Muslim,https://www.momjunction.com/wp-content/uploads/baby-names/adlaa_name_meaning_origin.jpg.webp
103,adlah,Female or Girls,"  is an Arabic name for girls that means fair, just, a person who practices justice and fairness It also means one who follows a straight path",Muslim,https://www.momjunction.com/wp-content/uploads/baby-names/adlah_name_meaning_origin.jpg.webp
104,adlea,Female or Girls,Justice and Fairness,Muslim,https://www.momjunction.com/wp-content/uploads/baby-names/adlea_name_meaning_origin.jpg.webp
105,adn,Female or Girls,"Paradise, Jannat ka Bag, Place of Everlasting Bliss",Muslim,https://www.momjunction.com/wp-content/uploads/baby-names/adn_name_meaning_origin.jpg.webp
106,adnanah,Female or Girls," is the feminine form of Adnan and means longterm resident, settler, a person who stays at a place for a long time and makes it her home",Muslim,https://www.momjunction.com/wp-content/uploads/baby-names/adnanah_name_meaning_origin.jpg.webp
107,adniyyah,Female or Girls,"  is an Arabic name for girls that means resident, inhabitant",Muslim,https://www.momjunction.com/wp-content/uploads/baby-names/adniyyah_name_meaning_origin.jpg.webp
108,adrianna,Female or Girls," is a French name that means from Adria, which refers to the area near the Adriatic Sea, which is the sea that is on the east of Italy",Muslim,https://www.momjunction.com/wp-content/uploads/baby-names/adrianna_name_meaning_origin.jpg.webp
109,adyan,Female or Girls,"Religions, plural of Din, A nabee was named by this name",Muslim,https://www.momjunction.com/wp-content/uploads/baby-names/adyan_name_meaning_origin.jpg.webp
110,aeni,Female or Girls," original, pure, true",Muslim,https://www.momjunction.com/wp-content/uploads/baby-names/aeni_name_meaning_origin.jpg.webp
111,afaf,Female or Girls,"Chaste, virtuous, decent, pure",Muslim,https://www.momjunction.com/wp-content/uploads/baby-names/afaf_name_meaning_origin.jpg.webp
112,afana,Female or Girls,"The forgiver, pardner",Muslim,https://www.momjunction.com/wp-content/uploads/baby-names/afana_name_meaning_origin.jpg.webp
113,afeefa,Female or Girls,Chaste,Muslim,https://www.momjunction.com/wp-content/uploads/baby-names/afeefa_name_meaning_origin.jpg.webp
114,afeefah,Female or Girls,"Pure, chaste, virtuous",Muslim,https://www.momjunction.com/wp-content/uploads/baby-names/afeefah_name_meaning_origin.jpg.webp
115,afeen,Female or Girls,Forgiveness and Forgiving,Muslim,https://www.momjunction.com/wp-content/uploads/baby-names/afeen_name_meaning_origin.jpg.webp
116,afeera,Female or Girls,"type of gazelle, In Arab Culture gazelle is used to describe beautiful and strong women",Muslim,https://www.momjunction.com/wp-content/uploads/baby-names/afeera_name_meaning_origin.jpg.webp
117,affera,Female or Girls," Variant of Arabic Afra, meaning pink or reddishwhite",Muslim,https://www.momjunction.com/wp-content/uploads/baby-names/affera_name_meaning_origin.jpg.webp
118,affra,Female or Girls," Variant of Arabic Afra, meaning pink or reddishwhite",Muslim,https://www.momjunction.com/wp-content/uploads/baby-names/affra_name_meaning_origin.jpg.webp
119,afifa,Female or Girls,"Neat lady ,pure, chaste, modest, virtuous, honest, righteous, upright, decent , fem Of Afif",Muslim,https://www.momjunction.com/wp-content/uploads/baby-names/afifa_name_meaning_origin.jpg.webp
120,afifah,Female or Girls,"Chaste, modest ,Another name for hazrat fatimah zahra",Muslim,https://www.momjunction.com/wp-content/uploads/baby-names/afifah_name_meaning_origin.jpg.webp
121,afizah,Female or Girls,A person who knows the recital of the quran,Muslim,https://www.momjunction.com/wp-content/uploads/baby-names/afizah_name_meaning_origin.jpg.webp
122,afkar,Female or Girls,"Destitue, poor",Muslim,https://www.momjunction.com/wp-content/uploads/baby-names/afkar_name_meaning_origin.jpg.webp
123,afnan,Female or Girls,Growth and Progress,Muslim,https://www.momjunction.com/wp-content/uploads/baby-names/afnan_name_meaning_origin.jpg.webp
124,afraa,Female or Girls,"White, Exalted, Highest social standing",Muslim,https://www.momjunction.com/wp-content/uploads/baby-names/afraa_name_meaning_origin.jpg.webp
125,afrah,Female or Girls,"Celebrations, festivals , Pl of Farah, joy, happiness , one who has pleasant dreams, imaginative",Muslim,https://www.momjunction.com/wp-content/uploads/baby-names/afrah_name_meaning_origin.jpg.webp
126,afraima,Female or Girls, Arabic name,Muslim,https://www.momjunction.com/wp-content/uploads/baby-names/afraima_name_meaning_origin.jpg.webp
127,afreeda,Female or Girls,"Created, brought into being,Produced",Muslim,https://www.momjunction.com/wp-content/uploads/baby-names/afreeda_name_meaning_origin.jpg.webp
128,afrin,Female or Girls,"Beautiful, Brave, Acclaim ,Stimulation, Praise, lucky , encouragement",Muslim,https://www.momjunction.com/wp-content/uploads/baby-names/afrin_name_meaning_origin.jpg.webp
129,afrisham,Female or Girls, is a Persian name for girls that means silk It is a literary synonym of the Persian word Abrisham the common word for silk,Muslim,https://www.momjunction.com/wp-content/uploads/baby-names/afrisham_name_meaning_origin.jpg.webp
130,afrouz,Female or Girls,"  is a Persian name for girls that means illuminating one who illuminates, enlightening, kindling",Muslim,https://www.momjunction.com/wp-content/uploads/baby-names/afrouz_name_meaning_origin.jpg.webp
131,afroz,Female or Girls,Illuminated,Muslim,https://www.momjunction.com/wp-content/uploads/baby-names/afroz_name_meaning_origin.jpg.webp
132,afroza,Female or Girls,"Burning, polishing , Light from fire",Muslim,https://www.momjunction.com/wp-content/uploads/baby-names/afroza_name_meaning_origin.jpg.webp
133,afroze,Female or Girls,"Lightening, enlightening",Muslim,https://www.momjunction.com/wp-content/uploads/baby-names/afroze_name_meaning_origin.jpg.webp
134,afrozeh,Female or Girls,"  is a Persian name for girls that means that which illuminates, bringer of light, fire blaze",Muslim,https://www.momjunction.com/wp-content/uploads/baby-names/afrozeh_name_meaning_origin.jpg.webp
135,afsa,Female or Girls,"Transparent, clear",Muslim,https://www.momjunction.com/wp-content/uploads/baby-names/afsa_name_meaning_origin.jpg.webp
136,afsah,Female or Girls,"Eloquent, Very polite",Muslim,https://www.momjunction.com/wp-content/uploads/baby-names/afsah_name_meaning_origin.jpg.webp
137,afsana,Female or Girls,"Story , Fable, fiction, romance",Muslim,https://www.momjunction.com/wp-content/uploads/baby-names/afsana_name_meaning_origin.jpg.webp
138,afsanah,Female or Girls,"Tale, legend, fiction",Muslim,https://www.momjunction.com/wp-content/uploads/baby-names/afsanah_name_meaning_origin.jpg.webp
139,afsaneh,Female or Girls,A fairy tale,Muslim,https://www.momjunction.com/wp-content/uploads/baby-names/afsaneh_name_meaning_origin.jpg.webp
140,afsar,Female or Girls,Crown,Muslim,https://www.momjunction.com/wp-content/uploads/baby-names/afsar_name_meaning_origin.jpg.webp
141,afshan,Female or Girls,Adornment aids,Muslim,https://www.momjunction.com/wp-content/uploads/baby-names/afshan_name_meaning_origin.jpg.webp
142,afsheen,Female or Girls,Shine like a star,Muslim,https://www.momjunction.com/wp-content/uploads/baby-names/afsheen_name_meaning_origin.jpg.webp
143,afshin,Female or Girls," is a Persian and Turkish given name, derived from the princely title of the rulers of Osrusana at the time of the Muslim conquest",Muslim,https://www.momjunction.com/wp-content/uploads/baby-names/afshin_name_meaning_origin.jpg.webp
144,afsoon,Female or Girls,"Charm, spell, bewitchment",Muslim,https://www.momjunction.com/wp-content/uploads/baby-names/afsoon_name_meaning_origin.jpg.webp
145,afza,Female or Girls,"one who brings plenty, one who causes an increase in goodness",Muslim,https://www.momjunction.com/wp-content/uploads/baby-names/afza_name_meaning_origin.jpg.webp
146,afzoon,Female or Girls,"  is a Persian name for girls that means plenty, much, lack of need, opposite of scarcity",Muslim,https://www.momjunction.com/wp-content/uploads/baby-names/afzoon_name_meaning_origin.jpg.webp
147,aghala,Female or Girls,Pleasing,Muslim,https://www.momjunction.com/wp-content/uploads/baby-names/aghala_name_meaning_origin.jpg.webp
148,agharid,Female or Girls,,Muslim,https://www.momjunction.com/wp-content/uploads/baby-names/agharid_name_meaning_origin.jpg.webp
149,aghigh,Female or Girls,Name of a stone,Muslim,https://www.momjunction.com/wp-content/uploads/baby-names/aghigh_name_meaning_origin.jpg.webp
150,aghla,Female or Girls,"  is an indirect Quranic name for girls and rarely for boys that means dearer, more valuable, most valuable, priceless It is derived from the GHLA to be expensive, to exceed limit which is used in a number of places in the Quran",Muslim,https://www.momjunction.com/wp-content/uploads/baby-names/aghla_name_meaning_origin.jpg.webp
151,aghsan,Female or Girls,,Muslim,https://www.momjunction.com/wp-content/uploads/baby-names/aghsan_name_meaning_origin.jpg.webp
152,agreen,Female or Girls,"  is a Kurdish name for boys and girls that means fiery, made of fire Figuratively it means passionate, active, brave",Muslim,https://www.momjunction.com/wp-content/uploads/baby-names/agreen_name_meaning_origin.jpg.webp
153,ahbab,Female or Girls, is an indirect Quranic name for boys and girls that means beloved ones It is the plural of Habeeb beloved one,Muslim,https://www.momjunction.com/wp-content/uploads/baby-names/ahbab_name_meaning_origin.jpg.webp
154,ahdaf,Female or Girls,"Pl of Hadaf, aim, goal, target",Muslim,https://www.momjunction.com/wp-content/uploads/baby-names/ahdaf_name_meaning_origin.jpg.webp
155,ahdia,Female or Girls,"Unique, The One",Muslim,https://www.momjunction.com/wp-content/uploads/baby-names/ahdia_name_meaning_origin.jpg.webp
156,aheedah,Female or Girls,"  is an Arabic name for girls that means ally, confederate",Muslim,https://www.momjunction.com/wp-content/uploads/baby-names/aheedah_name_meaning_origin.jpg.webp
157,ahida,Female or Girls,"Promise and Covenant, one who takes care of others",Muslim,https://www.momjunction.com/wp-content/uploads/baby-names/ahida_name_meaning_origin.jpg.webp
158,ahina,Female or Girls,"Ascetic, one who renounces the world It also means firm, unshakable",Muslim,https://www.momjunction.com/wp-content/uploads/baby-names/ahina_name_meaning_origin.jpg.webp
159,ahlaam,Female or Girls,Dream,Muslim,https://www.momjunction.com/wp-content/uploads/baby-names/ahlaam_name_meaning_origin.jpg.webp
160,ahlam,Female or Girls,"Dream, Intelligent",Muslim,https://www.momjunction.com/wp-content/uploads/baby-names/ahlam_name_meaning_origin.jpg.webp
161,ahlem,Female or Girls,"Dream, Intelligent",Muslim,https://www.momjunction.com/wp-content/uploads/baby-names/ahlem_name_meaning_origin.jpg.webp
